label,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,total
anger,0.02513465,0.018082192,0.016640254,0.004291845,0.051391863,0.073647871,0.035019455,0.029181495,0.036805012,0.045207957,0.07115629,0.029522829,0.025303644,0.04361874,0.044982699,0.021892655,0.040423484,0.026243849,0.034918724,0.031396126,0.025246305,0.034767045
anticipation,0.129263914,0.166027397,0.033280507,0.089413448,0.113490364,0.081703107,0.088521401,0.116725979,0.096319499,0.080470163,0.09656925,0.099897013,0.103238866,0.159396877,0.150519031,0.179378531,0.128970164,0.148715145,0.091511138,0.096860387,0.129310345,0.113313454
disgust,0.021543986,0.014794521,0.005546751,0.018597997,0.038543897,0.018411968,0.022373541,0.017793594,0.031323414,0.024412297,0.025412961,0.030552695,0.020242915,0.028002154,0.029411765,0.019774011,0.02213667,0.01913614,0.01384708,0.02004008,0.013546798,0.021687868
fear,0.035906643,0.025753425,0.347860539,0.183118741,0.094218415,0.078250863,0.137159533,0.076156584,0.067345341,0.043399638,0.057179161,0.033642293,0.064777328,0.045234249,0.03633218,0.03319209,0.040423484,0.036085293,0.032510536,0.028056112,0.024630542,0.072439666
joy,0.111310592,0.141917808,0.033280507,0.108011445,0.08137045,0.127733026,0.104085603,0.080427046,0.115896633,0.158227848,0.108005083,0.150360453,0.123481781,0.110393107,0.084775087,0.122175141,0.116458133,0.142154183,0.166767008,0.178356713,0.130541872,0.118844263
negative,0.080789946,0.049315068,0.358954041,0.207439199,0.152034261,0.112773303,0.1692607,0.099644128,0.104150352,0.07323689,0.097839898,0.04771713,0.08805668,0.067851373,0.069204152,0.056497175,0.073147257,0.071623838,0.058398555,0.05744823,0.040640394,0.101715361
positive,0.278276481,0.273424658,0.10459588,0.228898426,0.229122056,0.30264672,0.240272374,0.277580071,0.298355521,0.308318264,0.260482846,0.343288706,0.285425101,0.301023156,0.328719723,0.326271186,0.319538017,0.296336796,0.293196869,0.306613226,0.341748768,0.28305404
sadness,0.034111311,0.017534247,0.016640254,0.018597997,0.077087794,0.029919448,0.029182879,0.028469751,0.030540329,0.040687161,0.057179161,0.031582561,0.046558704,0.032848681,0.03200692,0.03319209,0.045235804,0.02952433,0.066827213,0.082164329,0.020935961,0.038134615
surprise,0.149012567,0.148493151,0.055467512,0.032188841,0.08137045,0.093210587,0.086575875,0.147330961,0.139389193,0.113924051,0.115628971,0.113628562,0.131578947,0.10177706,0.123702422,0.092514124,0.097208855,0.099507928,0.105358218,0.093520374,0.118842365,0.106677667
trust,0.13464991,0.144657534,0.027733756,0.10944206,0.08137045,0.081703107,0.087548638,0.126690391,0.079874706,0.112115732,0.110546379,0.119807758,0.111336032,0.109854604,0.100346021,0.115112994,0.116458133,0.130672499,0.13666466,0.105544422,0.15455665,0.109366021
total,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
boxOffice,56078520,51304539,39127045,9862655,12097479,7527728,7159453,16490524,27879884,20893084,4701588,5946795,3971856,3696324,8717079,14951137,10985538,3597323,3388947,2534650,2403779,
LogBoxOffice,17.84226341,17.75328979,17.48232447,16.10426596,16.30850764,15.83410383,15.78394414,16.61829647,17.14341598,16.85492875,15.36341088,15.59836298,15.19474405,15.12284937,15.98079476,16.52029791,16.21209024,15.09570052,15.03602981,14.74556612,14.69255264,
boxLag,0,56078520,51304539,39127045,9862655,12097479,7527728,7159453,16490524,27879884,20893084,4701588,5946795,3971856,3696324,8717079,14951137,10985538,3597323,3388947,2534650,
LogBoxLag,#NAME?,17.84226341,17.75328979,17.48232447,16.10426596,16.30850764,15.83410383,15.78394414,16.61829647,17.14341598,16.85492875,15.36341088,15.59836298,15.19474405,15.12284937,15.98079476,16.52029791,16.21209024,15.09570052,15.03602981,14.74556612,
weekend,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,
date,5/5/2017,5/6/2017,5/7/2017,5/8/2017,5/9/2017,5/10/2017,5/11/2017,5/12/2017,5/13/2017,5/14/2017,5/15/2017,5/16/2017,5/17/2017,5/18/2017,5/19/2017,5/20/2017,5/21/2017,5/22/2017,5/23/2017,5/24/2017,5/25/2017,
p,0.802513465,0.874520548,0.254358162,0.56795422,0.586723769,0.686996548,0.607003891,0.748754448,0.729835552,0.773056058,0.691232529,0.826982492,0.755060729,0.782444803,0.788062284,0.835451977,0.778633301,0.81738655,0.793497893,0.780895124,0.875,
n,0.197486535,0.125479452,0.745641838,0.43204578,0.413276231,0.313003452,0.392996109,0.251245552,0.270164448,0.226943942,0.308767471,0.173017508,0.244939271,0.217555197,0.211937716,0.164548023,0.221366699,0.18261345,0.206502107,0.219104876,0.125,
